DATE,average_arr_delay_daily,average_dep_delay_daily,num_flight_daily
2015-01-01,5.346142433234421,9.573887240356083,13480
2015-01-02,9.825171430305238,12.635414770313732,16479
2015-01-03,25.394367130550034,25.127965540092777,15090
2015-01-04,31.920761593565413,31.519416865652886,15914
2015-01-05,18.780931677018632,20.881490683229813,16100
2015-01-06,21.249279055730668,22.48561464690497,14911
2015-01-07,11.938188253801783,14.489971158888306,15256
2015-01-08,13.283083624843245,16.013398455547488,15151
2015-01-09,12.2358812544272,15.33595208963874,15529
2015-01-10,1.920260039499671,8.14516129032258,12152
2015-01-11,10.158703665067112,13.60365811252521,14379
2015-01-12,18.519499870432753,19.477325732054936,15436
2015-01-13,3.1575328749749683,6.607970095454242,14981
2015-01-14,-0.8161961270131055,4.285714285714286,15337
2015-01-15,1.6510180995475112,6.341251885369532,15912
2015-01-16,0.9237785830313633,5.737348494314632,16006
2015-01-17,-5.279305474786076,2.1424773614688046,12037
2015-01-18,-0.3097473975394919,5.614326272111815,13737
2015-01-19,-2.1990996132141274,3.8474415065626784,15771
2015-01-20,-2.17059915164369,2.9030355249204667,15088
2015-01-21,2.2892583452396416,5.34484998051695,15398
2015-01-22,-0.0562193434788077,4.477990189913219,15902
2015-01-23,-0.1681093965625392,3.9499435453519007,15942
2015-01-24,-0.6826620255262722,3.792723354881485,12066
2015-01-25,-0.6365947505840319,4.41768585955751,14554
2015-01-26,2.0802581731443803,5.503227164304756,14254
2015-01-27,-6.705527474319257,-0.24033914886678623,12266
2015-01-28,-4.747428958051421,1.6838971583220568,14780
2015-01-29,-0.8335528378802133,3.827343994982753,15945
2015-01-30,6.483709273182957,10.066165413533835,15960
2015-01-31,-3.2289633120161563,3.4617973746213395,11884
2015-02-01,9.984835203366059,13.677594670406732,11408
2015-02-02,17.474104494638375,19.151038101756786,13149
2015-02-03,8.460539872243972,11.353801772099732,14559
2015-02-04,7.880630334865398,10.114707813525936,15230
2015-02-05,12.462675110343504,14.657775219087828,15633
2015-02-06,0.5847956921127653,6.648970541653468,15785
2015-02-07,-6.248236837789077,1.9426767262588158,12194
2015-02-08,2.898757284279997,8.439865196938847,14243
2015-02-09,5.119304966479683,9.16274456149952,14618
2015-02-10,-2.147255242420195,3.227861626819821,14974
2015-02-11,-2.8010200787655757,2.4966750597198013,15489
2015-02-12,2.0807869658776514,6.981248078696588,16265
2015-02-13,3.408108601692336,8.247580203323796,16427
2015-02-14,5.322955275512726,9.177580100485956,12141
2015-02-15,7.621611243376085,10.962445280700408,13021
2015-02-16,18.58557902403496,19.57743494669933,15103
2015-02-17,16.617105263157896,18.718092105263157,15200
2015-02-18,7.09920139755428,10.387883703518842,16028
2015-02-19,7.879061482709908,11.601498679442294,16281
2015-02-20,9.061931008856135,12.629095187960612,16147
2015-02-21,12.743092298647854,13.478877970941463,11907
2015-02-22,17.288003885381254,19.594393949906333,14413
2015-02-23,10.093029437171905,13.925177752674596,15049
2015-02-24,11.133443489755452,15.450231328486451,15130
2015-02-25,9.297600748512998,11.217737084809196,14963
2015-02-26,20.107883817427386,21.181232045962336,15665
2015-02-27,11.793008691206545,13.663854805725972,15648
2015-02-28,8.665954355073083,12.64911530900077,11699
2015-03-01,25.696357761785872,25.27140549273021,13618
2015-03-02,17.53200479283597,20.659330264236615,15857
2015-03-03,20.222525098065287,19.39531946014228,15041
2015-03-04,8.954008410653495,11.934850811027301,14981
2015-03-05,18.750474244856267,20.752079381292866,13706
2015-03-06,12.331996544916091,17.220138203356367,16208
2015-03-07,1.1835259091231303,7.45190331041327,14107
2015-03-08,2.7228757352021025,7.914278563383807,15982
2015-03-09,1.4968015782866024,7.461230346146948,16727
2015-03-10,0.19294248060105926,5.508868087202858,16238
2015-03-11,1.6056525152485053,6.463735732834109,16559
2015-03-12,2.587779944454293,6.9759498906813215,16923
2015-03-13,1.7982094475203205,6.498763105194958,16978
2015-03-14,1.5903370158019858,7.334149070060131,14302
2015-03-15,2.9878185907046477,8.773613193403298,16008
2015-03-16,-4.323340852427876,3.559479995251098,16846
2015-03-17,0.14203360726113087,6.029743652643199,16306
2015-03-18,-0.1570027841665658,5.720735988379131,16522
2015-03-19,-0.2811964296270024,4.7484778625051725,16917
2015-03-20,9.702297519653849,12.368334450606374,16409
2015-03-21,2.6789776716753266,7.987712399943828,14242
2015-03-22,2.1244013186539776,6.517633886919201,16077
2015-03-23,16.1751869938802,20.269518452123386,16177
2015-03-24,-0.7496161640975251,4.912178345513726,16283
2015-03-25,3.99110897512916,7.969181785413913,16646
2015-03-26,8.517444279346211,11.35263001485884,16825
2015-03-27,6.614615975876545,10.551291905634718,16913
2015-03-28,-1.1754681253944876,6.367557332211235,14259
2015-03-29,-2.0455932731236377,5.272064777327936,16055
2015-03-30,0.07698690215136608,6.309607064540983,16873
2015-03-31,-2.2946754194018966,3.475079017748602,16452
2015-04-01,-0.33467137978551315,4.796896531064646,16691
2015-04-02,4.601863943962958,7.764038940994895,16846
2015-04-03,3.324211281070746,7.8169813575525815,16736
2015-04-04,-0.3872994751238264,5.639387890884897,13527
2015-04-05,-1.6948648299055749,3.8544819557625147,15462
2015-04-06,-1.3132366005330174,3.772223867337874,16885
2015-04-07,1.5371600836717116,5.21957671957672,16254
2015-04-08,7.27247462542291,9.705473658772354,16552
2015-04-09,20.87888431299139,22.247472856608013,16026
2015-04-10,16.690343128417762,19.12108647316868,16641
2015-04-11,-1.604581299286519,5.457378895981975,13315
2015-04-12,-0.24835288950241577,4.92991152663613,15937
2015-04-13,8.814168871782535,12.709405821505893,16628
